season,team,epa,pass_epa,rush_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,qb_epa,xyac_epa,success,yards_gained,plays
2020.0,BAL,0.06959085,0.04323217,0.14588128,0.62611234,-0.46299887,0.059555203,0.1274403,0.06959085,0.70080626,0.45360112,4.5903363,1428
2020.0,BUF,0.11654854,0.2230929,0.0050855377,0.49391964,-0.17259105,0.085429095,0.20193486,0.12260182,0.6971197,0.49149337,4.6912236,1564
2020.0,CAR,0.013705446,0.013079254,-0.010407224,0.27545765,-0.15387648,0.0013057953,0.20118023,0.016839186,0.7659698,0.45178849,4.415154,1270
2020.0,CHI,-0.026125876,-0.036217257,-0.037224304,0.48795334,-0.41608325,0.0471576,0.16737872,-0.015326917,0.7432823,0.4298867,3.9806173,1394
2020.0,CIN,-0.036960408,-0.0068318434,-0.1138248,0.5640231,-0.4265058,0.05435482,0.16467749,-0.02213209,0.6518403,0.43484625,3.7924387,1351
2020.0,CLE,0.056776326,0.15437351,0.029666882,0.5917983,-0.34197605,0.09177576,0.14793617,0.06815212,0.64556307,0.44763175,4.487788,1474
2020.0,DAL,-0.02756411,-0.04019095,-0.035769172,0.42449227,-0.31134567,0.04353691,0.17948195,-0.017912503,0.7002683,0.4483734,4.273314,1394
2020.0,DEN,-0.06806315,-0.1271383,-0.072426245,0.52481407,-0.5424213,0.04859011,0.14394434,-0.058656886,0.7071858,0.39185184,4.0428896,1332
2020.0,DET,-0.007845265,0.049857456,-0.09822659,0.5002304,-0.32778645,0.068861574,0.18448976,-0.007845265,0.71046,0.434551,4.3230534,1301
2020.0,GB,0.14955308,0.30234867,0.09789025,0.4785388,-0.09059766,0.051809087,0.23442252,0.159843,0.7815621,0.49312243,4.9566736,1434
2020.0,HOU,0.04984929,0.1891576,-0.06348595,0.64833105,-0.28378463,0.12521678,0.17097946,0.062881745,0.6284536,0.4589372,4.898858,1226
2020.0,IND,0.05521245,0.16098092,-0.010086983,0.33534616,-0.10687076,0.028459262,0.20761903,0.06264874,0.73965245,0.45868346,4.6304965,1411
2020.0,JAX,-0.06699501,-0.070120074,-0.036411177,0.4573215,-0.3825707,0.038718592,0.19011815,-0.06348609,0.7201782,0.4074361,4.084441,1279
2020.0,KC,0.13269272,0.25787434,0.048417408,0.48679176,-0.15852232,0.06301515,0.23952931,0.14392,0.68988657,0.48603353,4.956631,1591
2020.0,LA,-0.038377937,0.015418973,-0.054711167,0.33341613,-0.21012096,0.02282572,0.18945138,-0.031245925,0.6888218,0.43888167,4.353522,1520
2020.0,LAC,-0.026716884,0.12192894,-0.11046154,0.42327723,-0.20850766,0.0242905,0.22439492,-0.020512765,0.75733703,0.41892833,4.3168664,1418
2020.0,LV,0.047872048,0.08540177,-0.006091538,0.47641373,-0.25678742,0.054563433,0.19181238,0.062322084,0.74094194,0.46130952,4.6301885,1327
2020.0,MIA,0.013153519,0.051974397,-0.05712499,0.4624188,-0.31110886,0.05596066,0.16443479,0.016662953,0.65288776,0.4570783,4.1560826,1309
2020.0,MIN,0.030085407,0.14784089,0.031077402,0.46342403,-0.15957217,0.06773258,0.1796411,0.037879802,0.69181675,0.45139912,4.7039523,1342
2020.0,NE,0.009286117,-0.08752597,0.076140404,0.27179262,-0.22369157,0.025910806,0.1467854,0.024339732,0.7103375,0.45998383,4.2969646,1219
2020.0,NO,0.043926854,0.08643628,0.040175017,0.25032234,-0.03900899,0.029729985,0.1827663,0.052531708,0.7370971,0.46433288,4.4889483,1496
2020.0,NYG,-0.04890843,-0.078501865,-0.021926692,0.42540535,-0.3412987,0.06008196,0.136304,-0.040018756,0.6751458,0.41027668,3.8445513,1249
2020.0,NYJ,-0.13135168,-0.17360732,-0.10150709,0.5226265,-0.56224513,0.018595297,0.15505809,-0.12426901,0.67958534,0.38535032,3.6078906,1242
2020.0,PHI,-0.064318545,-0.13744013,-0.009243462,0.6425238,-0.630303,0.077006124,0.1292243,-0.064318545,0.65338254,0.40171552,3.8842258,1382
2020.0,PIT,0.0054364465,0.07896321,-0.13095352,0.331042,-0.21603557,0.009198386,0.23555006,0.012357545,0.79172,0.43609023,4.097713,1445
2020.0,SEA,0.07431919,0.08709651,0.038089152,0.5893484,-0.34791628,0.07843755,0.18493465,0.07957684,0.7196689,0.47058824,4.432355,1397
2020.0,SF,-0.0103846565,0.059356336,-0.06536253,0.27570298,-0.054707572,0.028270448,0.23382525,-0.0103846565,0.7635076,0.44313148,4.4208956,1341
2020.0,TB,0.08903034,0.20383321,-0.013296936,0.6043688,-0.33141324,0.10320927,0.1990085,0.09610834,0.7372698,0.4641782,4.661595,1644
2020.0,TEN,0.12118,0.2176935,0.09747832,0.61087954,-0.2857221,0.11252656,0.1362413,0.12574752,0.59959275,0.4851695,4.702509,1397
2020.0,WAS,-0.044543702,-0.10888124,0.019307513,0.18018049,-0.12831625,-0.031287294,0.22135663,-0.036255468,0.7891877,0.42539904,3.8252633,1426
2021.0,ARI,0.011775128,0.08053889,0.01208015,0.44389814,-0.24144371,0.038505677,0.20114468,0.014714622,0.74840474,0.44788918,4.360907,1502
2021.0,ATL,-0.07885477,-0.065336704,-0.14938016,0.40554276,-0.34549853,0.051895835,0.16698472,-0.061247386,0.75455207,0.40345606,3.9405034,1311
2021.0,BAL,0.005229939,-0.009900739,0.02460302,0.49166745,-0.35490948,0.057578165,0.14895181,0.009948774,0.684365,0.450165,4.3074865,1496
2021.0,BUF,0.0835494,0.15267438,0.12962846,0.5600965,-0.34710854,0.08918526,0.17454416,0.08641951,0.68795073,0.47368422,4.713558,1578
2021.0,CAR,-0.1287469,-0.21121678,-0.030294452,0.3346279,-0.42161533,0.0014922958,0.17216362,-0.124813095,0.7225688,0.40225035,3.6258018,1404
2021.0,CHI,-0.08614929,-0.15395167,-0.030884929,0.5279487,-0.48222604,0.041817833,0.15351647,-0.08614929,0.689474,0.40955138,3.8378577,1365
2021.0,CIN,0.028549502,0.10799655,-0.047629334,0.41447496,-0.10748141,0.045591112,0.22532155,0.035147734,0.73103946,0.43609467,4.4679832,1673
2021.0,CLE,-0.02395104,-0.04529663,0.08308301,0.4941269,-0.35049066,0.039396346,0.16350348,-0.016489044,0.6959658,0.42186353,4.3036375,1347
2021.0,DAL,0.0415543,0.15414952,-0.02733833,0.48465526,-0.21930498,0.06815172,0.1918105,0.0415543,0.70985585,0.4529008,4.563682,1586
2021.0,DEN,0.010516046,0.06626195,-0.052044377,0.41776755,-0.24084564,0.016541984,0.19399735,0.014328256,0.72623277,0.43745318,4.273764,1316
2021.0,DET,-0.0613233,-0.045609146,-0.08947484,0.19708702,-0.12215107,-0.010700245,0.20012796,-0.054751344,0.76383483,0.4093525,4.004373,1373
2021.0,GB,0.07420601,0.17018367,0.049075365,0.4386962,-0.15189487,0.0304139,0.22901367,0.07944147,0.78881425,0.4723757,4.556962,1422
2021.0,HOU,-0.11373851,-0.12533192,-0.15636657,0.34473434,-0.34604362,0.008728796,0.16953279,-0.10353519,0.72594225,0.37094396,3.5464768,1335
2021.0,IND,0.039431218,0.0070973863,0.1022458,0.40021327,-0.24540825,0.041706182,0.16136622,0.043781176,0.7414352,0.45434782,4.332355,1364
2021.0,JAX,-0.09250439,-0.10748698,-0.057011902,0.48179868,-0.48608044,0.035375044,0.15845482,-0.084328376,0.695052,0.4107274,3.8768656,1342
2021.0,KC,0.11913542,0.19883128,0.070396766,0.28740975,-0.0016176085,0.012508345,0.26883522,0.12810498,0.781804,0.50087667,4.836892,1687
2021.0,LA,0.034985397,0.19140194,-0.14245285,0.5674086,-0.2686415,0.1034284,0.19952786,0.038170215,0.71231073,0.4482353,4.7008395,1670
2021.0,LAC,0.041953586,0.14574173,0.005696454,0.440944,-0.21434805,0.05619072,0.2310707,0.052350517,0.73525167,0.45679012,4.6102633,1444
2021.0,LV,-0.010449907,0.030148577,-0.09297147,0.3670793,-0.20816988,0.01817696,0.21540633,-0.00084458495,0.76485413,0.43840104,4.358991,1508
2021.0,MIA,-0.059486162,-0.01203966,-0.13034266,0.40542933,-0.29237732,0.03197097,0.1795673,-0.05730671,0.69920737,0.40293297,3.6885593,1418
2021.0,MIN,-0.005102671,0.08132718,-0.07430213,0.39826912,-0.2059196,0.048740905,0.17421083,-0.0011370181,0.7329351,0.40585774,4.3635077,1414
2021.0,NE,0.043024912,0.09928331,0.03109442,0.4598235,-0.25038013,0.060677543,0.16806021,0.057655957,0.6924269,0.47233748,4.4375,1425
2021.0,NO,-0.08774253,-0.06982363,-0.07849853,0.39998612,-0.3181073,0.044841826,0.16245577,-0.0834606,0.7719837,0.40058056,3.8150332,1357
2021.0,NYG,-0.12510443,-0.21171872,-0.08461156,0.40686306,-0.48768726,0.01735757,0.15992285,-0.12288395,0.71146894,0.38978103,3.618343,1352
2021.0,NYJ,-0.073644534,-0.12819314,-0.029004933,0.36648026,-0.34459373,0.0321364,0.18469886,-0.06670179,0.6959736,0.41224188,3.8838422,1343
2021.0,PHI,0.031597394,0.03504964,0.086672895,0.5572707,-0.42183557,0.040051788,0.1618514,0.036152996,0.7329209,0.45454547,4.47132,1447
2021.0,PIT,-0.06184355,-0.10137054,-0.03195017,0.24857052,-0.24555185,-0.024308333,0.19503996,-0.051621087,0.7955429,0.39546925,3.6865573,1528
2021.0,SEA,0.016567076,0.008321103,0.06180758,0.56564045,-0.38612428,0.03583382,0.16969465,0.024793701,0.7319012,0.4380426,4.399361,1253
2021.0,SF,0.030501906,0.14333388,-0.033207793,0.45633113,-0.190591,0.058711346,0.18465915,0.040191326,0.66316515,0.44267517,4.6469455,1557
2021.0,TB,0.06356884,0.15347578,0.038991567,0.44617003,-0.21796693,0.041721605,0.2415051,0.068564236,0.73858666,0.47188264,4.7126937,1618
2021.0,TEN,-0.00396961,0.017195007,0.009033956,0.39938205,-0.22738709,0.031347267,0.17026186,0.00487499,0.7466533,0.43950295,4.0947647,1509
2021.0,WAS,-0.03981929,-0.08208138,-0.025467997,0.42215112,-0.36429247,0.0151473945,0.17099,-0.030605711,0.75653356,0.43862167,4.0101967,1375
2022.0,ARI,-0.090162024,-0.13214085,-0.014916938,0.28462067,-0.30349892,-0.018075245,0.1923083,-0.0848369,0.79283124,0.3917456,3.781057,1457
2022.0,ATL,-0.0022644934,-0.028608302,0.032315202,0.617269,-0.5008742,0.056088116,0.10352572,0.01688921,0.6999848,0.44893292,4.177966,1300
2022.0,BAL,0.007007156,-0.05172463,0.050277192,0.49947459,-0.4435089,0.033792317,0.1338024,0.01795334,0.72774464,0.43986014,4.3708987,1404
2022.0,BUF,0.067425236,0.10052819,0.082637504,0.6201796,-0.40447143,0.10101681,0.1701093,0.075810395,0.69898677,0.4839142,4.8420696,1470
2022.0,CAR,-0.035241254,-0.09692315,0.029333323,0.30477822,-0.28262845,0.012756748,0.15399419,-0.03020462,0.7650985,0.41987672,4.0624027,1283
2022.0,CHI,-0.04395437,-0.23172948,0.10350637,0.49447557,-0.50974125,0.020613935,0.110654265,-0.0312353,0.7576927,0.40030792,4.099452,1279
2022.0,CIN,0.046970665,0.12068612,0.0120286625,0.35281584,-0.0921967,0.044724245,0.22200125,0.05269321,0.7352583,0.45976293,4.2601266,1581
2022.0,CLE,-0.005126883,-0.036776498,0.067460604,0.5794267,-0.47910595,0.054505404,0.13413624,0.0027932008,0.69010854,0.43456963,4.195053,1415
2022.0,DAL,0.025010435,0.058718354,-0.009935768,0.45470968,-0.31607708,0.062687755,0.16630052,0.03172619,0.70430475,0.4429109,4.285442,1574
2022.0,DEN,-0.08103931,-0.13578863,-0.0694416,0.48098257,-0.4377411,0.023005294,0.1628735,-0.08103931,0.7554555,0.3813856,3.9074204,1417
2022.0,DET,0.04773558,0.16129945,-0.045306005,0.31460556,-0.05990783,0.032346163,0.2268715,0.05167194,0.7697669,0.45003542,4.6666665,1388
2022.0,GB,-0.0053824056,-0.02483179,0.040786657,0.4418624,-0.35292196,0.015673466,0.18971527,0.0042200256,0.8062991,0.4512286,4.352006,1322
2022.0,HOU,-0.13066015,-0.19093965,-0.18569164,0.3068664,-0.38271526,-0.011622146,0.18174148,-0.12666295,0.7777199,0.3783784,3.6475039,1323
2022.0,IND,-0.14041978,-0.18073173,-0.14854321,0.26496392,-0.2809438,0.016351262,0.1618441,-0.12804732,0.722746,0.402964,3.783726,1401
2022.0,JAX,0.0311544,0.085204855,-0.017667275,0.3904294,-0.20882766,0.024572005,0.2087202,0.034312382,0.7686914,0.46054333,4.4659686,1529
2022.0,KC,0.1237862,0.25537744,0.07441235,0.36544263,-0.036324423,0.036092956,0.26458585,0.13484457,0.72549945,0.4951279,4.9950647,1626
2022.0,LA,-0.07637979,-0.12462628,-0.034935854,0.32554197,-0.26256517,0.0107379025,0.18414156,-0.07245128,0.7370981,0.4043044,3.7228727,1284
2022.0,LAC,-0.014653981,0.023414897,-0.013792162,0.2569195,-0.13755043,-0.0049478356,0.22783023,-0.0044164155,0.7938458,0.41863433,4.168503,1544
2022.0,LV,-0.0011231363,0.009445742,-0.012900882,0.57932913,-0.46712568,0.06460223,0.17260772,0.008830942,0.6972982,0.4286754,4.4261446,1355
2022.0,MIA,0.007691611,0.060551036,-0.021424921,0.58499783,-0.4034322,0.11471584,0.15431084,0.015666198,0.6452285,0.42544168,4.579772,1404
2022.0,MIN,-0.007944794,0.050178237,-0.09865625,0.405609,-0.22461998,0.055401452,0.19795267,-0.007797611,0.6960059,0.43850613,4.2234526,1535
2022.0,NE,-0.07241907,-0.0630718,-0.040841725,0.30711836,-0.22867534,0.0070784516,0.1787546,-0.06297461,0.7768075,0.40136054,4.0902143,1311
2022.0,NO,-0.05589094,0.01375333,-0.10050898,0.5143376,-0.37737668,0.06440419,0.14551188,-0.040907178,0.69729847,0.43698114,4.33919,1310
2022.0,NYG,0.02766045,-0.010072514,0.09200834,0.24936295,-0.11611566,0.003032837,0.16906361,0.03815418,0.73312885,0.43956742,4.0771704,1555
2022.0,NYJ,-0.08863757,-0.11415622,-0.042226207,0.51938945,-0.51983905,0.06466337,0.1480461,-0.081129245,0.6700279,0.39426523,3.9281046,1379
2022.0,PHI,0.06949112,0.093158856,0.14946303,0.44794104,-0.22719397,0.046098314,0.15595514,0.08978944,0.7195786,0.46955502,4.5964284,1684
2022.0,PIT,-0.017122563,-0.0068986244,0.034953535,0.5043157,-0.41399518,0.04389086,0.1421792,-0.012315622,0.697052,0.436669,3.8991477,1410
2022.0,SEA,0.018422253,0.00045098033,0.0022162886,0.46835136,-0.31755593,0.05992911,0.14775907,0.03499268,0.6962543,0.45392492,4.365398,1446
2022.0,SF,0.04117566,0.17581472,-0.030718848,0.3260173,-0.024426095,0.021551121,0.216442,0.049927667,0.7558915,0.45944232,4.629582,1556
2022.0,TB,-0.055213578,0.0340212,-0.19981495,0.2867031,-0.19405101,0.0002018162,0.22174418,-0.043297973,0.7637346,0.4215501,4.0063734,1569
2022.0,TEN,-0.06615864,-0.06227293,-0.056622576,0.39839822,-0.2803381,0.025223715,0.15867156,-0.06260106,0.73158985,0.41749048,3.900309,1296
2022.0,WAS,-0.054355513,-0.09867059,-0.053580273,0.43391037,-0.36255422,0.02322351,0.16652516,-0.054355513,0.7575481,0.40341297,3.893971,1444
2023.0,ARI,-0.043007694,-0.16736235,0.05201394,0.3406696,-0.36735624,0.00036430976,0.15318106,-0.043007694,0.7534922,0.39771917,3.9862716,1384
2023.0,ATL,-0.08694301,-0.086342186,-0.112792686,0.47935835,-0.44325224,0.03798734,0.15872012,-0.082226515,0.6962169,0.40353358,4.079627,1395
2023.0,BAL,0.047380324,0.068795055,0.05669187,0.45975286,-0.22464123,0.051061917,0.15755972,0.060353633,0.71374637,0.47013488,4.5347176,1542
2023.0,BUF,0.0628839,0.12298532,0.10538258,0.500051,-0.30981562,0.028711367,0.19195417,0.07436666,0.7670369,0.47351828,4.544757,1566
2023.0,CAR,-0.13063785,-0.2497732,-0.06924068,0.41758597,-0.46508607,0.020760022,0.13742891,-0.12553582,0.69616824,0.38445377,3.1983004,1412
2023.0,CHI,-0.060280945,-0.13829115,0.048070326,0.3455763,-0.3006254,0.010139163,0.15349004,-0.050612282,0.76720023,0.40312278,3.9660895,1386
2023.0,CIN,-0.0052801208,0.012345367,-0.050929133,0.20492597,-0.05193326,-0.00699313,0.23571685,-0.001689948,0.7864142,0.42930028,4.0059085,1354
2023.0,CLE,-0.10759196,-0.1949811,-0.0902429,0.4618255,-0.5331275,0.027666874,0.15499365,-0.096949406,0.7257814,0.3951613,3.8001256,1591
2023.0,DAL,0.09075792,0.14349216,0.040156662,0.48158494,-0.2157512,0.060547464,0.20427723,0.097092554,0.7635153,0.47474092,4.4816513,1528
2023.0,DEN,-0.045133255,-0.05631036,-0.060402784,0.33840075,-0.20942572,-0.017303327,0.19275245,-0.028763201,0.81713665,0.41285083,3.7995512,1337
2023.0,DET,0.033001147,0.13127263,0.00752585,0.265055,-0.025959952,0.033798277,0.2216845,0.039636143,0.7607416,0.44503546,4.7215567,1672
